DATE,T_mean,T_min,T_max,Po_mean,Po_min,Po_max,P_mean,P_min,P_max,Pa_mean,Pa_min,Pa_max,U_mean,U_min,U_max,Ff_mean,Ff_min,Ff_max,ff10_mean,ff10_min,ff10_max,ff3_mean,ff3_min,ff3_max,Tn_mean,Tn_min,Tn_max,Tx_mean,Tx_min,Tx_max,Td_mean,Td_min,Td_max,RRR_sum
2020-08-17,23.7,22.3,25.9,735.925,733.9,737.4,756.2625,754.0,757.8,-0.375,-1.7,0.2,85.0,68.0,99.0,2.25,1,5,0.0,0.0,0.0,6.5,5.0,10.0,19.8375,16.9,20.8,28.360000000000003,25.5,30.5,20.9125,18.0,24.7,12.7
2020-08-18,25.7625,20.2,29.9,734.525,733.3,735.3,754.7375,753.6,755.7,0.175,-0.6,1.1,80.75,53.0,99.0,3.25,1,6,0.0,0.0,0.0,11.166666666666666,8.0,12.0,21.9125,20.2,22.5,28.4625,26.4,29.9,21.8125,19.3,24.8,20.0
2020-08-19,18.7625,16.6,20.1,738.05,736.0,740.9,758.725,756.4,761.8,0.7,0.0,1.5,89.5,69.0,99.0,2.625,1,4,0.0,0.0,0.0,8.25,7.0,9.0,18.4375,16.6,19.1,25.7,21.5,29.9,16.875,12.0,19.6,65.5
2020-08-20,18.275,13.2,22.8,742.2875,741.6,743.1,763.2875,762.6,764.2,0.175,-1.0,0.8,63.25,43.0,88.0,2.5,2,3,0.0,0.0,0.0,7.75,6.0,8.0,13.2,13.0,14.4,22.25,21.5,23.0,10.675,8.2,12.8,0.0
2020-08-21,19.2375,13.1,25.0,741.65,740.7,742.6,762.525,761.5,763.6,-0.1875,-1.4,0.4,64.875,39.0,91.0,1.875,0,4,0.0,0.0,0.0,5.875,5.0,7.0,12.7375,12.7,13.0,24.3375,23.0,25.7,11.75,10.1,13.2,0.0
2020-08-22,20.15,12.3,26.2,738.2625,736.0,740.5,759.0,756.6,761.3,-0.6,-1.6,0.0,74.125,45.0,99.0,1.0,0,3,0.0,0.0,0.0,6.5,2.0,8.0,12.2625,12.2,12.7,26.35,25.7,27.0,14.5625,12.2,17.2,0.0
2020-08-23,22.675,16.9,26.8,733.625,732.4,735.3,754.05,752.7,755.8,-0.4499999999999999,-1.2,0.4,71.125,46.0,99.0,2.25,1,4,0.0,0.0,0.0,6.0,3.0,9.0,15.675,12.2,16.8,27.075,27.0,27.2,16.65,13.9,18.7,0.0
2020-08-24,20.0,18.7,22.8,729.55,727.7,731.8,749.95,748.1,752.0,-0.4,-1.4,0.8,93.375,70.0,99.0,1.75,1,3,0.0,0.0,0.0,7.0,5.0,8.0,18.55,16.9,19.6,27.2,27.2,27.2,18.7625,17.0,20.0,118.0
2020-08-25,22.9125,18.6,27.7,732.3375,729.7,734.8,752.7875,750.2,755.1,0.7,0.1,1.2,84.875,66.0,99.0,2.125,1,3,0.0,0.0,0.0,5.375,4.0,6.0,18.2125,18.2,18.3,25.642857142857142,20.5,28.4,20.0125,18.4,20.9,6.1
2020-08-26,24.375,20.7,27.8,734.975,733.6,736.1,755.3125,753.8,756.4,-0.15,-1.4,0.5,76.875,52.0,100.0,1.875,1,3,0.0,0.0,0.0,5.333333333333333,4.0,6.0,19.914285714285715,18.6,20.4,28.514285714285712,28.4,28.6,19.65,17.1,20.9,0.0
2020-08-27,22.0375,21.1,22.7,729.4,725.7,732.4,749.6625,745.9,752.6,-0.4875,-2.8,2.1,98.625,96.0,99.0,3.125,1,5,0.0,0.0,0.0,9.125,6.0,11.0,21.375,20.4,21.8,27.5,24.2,28.6,21.775,20.9,22.5,148.0
2020-08-28,22.125,20.5,24.5,732.675,730.6,734.9,753.0875,750.9,755.4,0.65,-0.3,1.2,94.25,86.0,99.0,2.25,1,3,0.0,0.0,0.0,7.375,6.0,11.0,20.9375,20.5,21.0,24.05,22.8,25.0,21.125,20.3,22.0,22.9
2020-08-29,18.0,15.9,19.8,737.2875,735.1,738.7,758.05,755.6,759.7,0.475,-0.2,1.2,91.0,78.0,99.0,2.375,0,4,0.0,0.0,0.0,6.875,6.0,7.0,16.3125,15.7,19.1,23.6625,20.6,25.0,16.45,15.6,18.4,0.0
2020-08-30,21.0125,15.3,25.2,739.2625,738.8,739.9,760.0,759.6,760.6,0.0374999999999999,-0.6,0.6,81.375,68.0,99.0,1.875,1,3,0.0,0.0,0.0,4.428571428571429,3.0,6.0,14.7125,14.6,15.5,23.95,20.6,26.3,17.5,15.1,19.0,0.0
2020-08-31,24.75,20.2,28.7,736.5625,734.8,738.2,756.95,754.9,758.7,-0.525,-0.8,0.0,74.375,58.0,86.0,2.875,2,4,0.0,0.0,0.0,8.25,5.0,10.0,18.450000000000003,14.6,19.6,27.8625,26.3,29.1,19.7125,17.8,21.8,0.0
2020-09-01,22.8,18.4,26.2,733.6,733.0,734.3,753.9125,753.4,754.8,-0.0625,-0.9,1.1,82.5,63.0,99.0,2.375,1,4,0.0,0.0,0.0,6.8,5.0,9.0,19.3,18.2,20.2,28.4375,27.3,29.1,19.425,16.6,21.5,73.6
2020-09-02,22.425,20.6,25.6,735.1125,734.2,735.6,755.55,754.6,756.1,0.125,-0.3,0.7,76.75,58.0,96.0,1.875,1,3,0.0,0.0,0.0,6.571428571428571,6.0,8.0,18.225,18.2,18.4,26.8375,25.9,27.3,17.875,15.7,19.9,3.0
2020-09-03,17.15,14.8,19.6,726.5375,720.4,733.0,746.9875,740.8,753.4,-1.157142857142857,-5.7,3.3,95.875,88.0,99.0,5.0,2,7,0.0,0.0,0.0,12.125,5.0,18.0,17.0875,14.8,19.5,24.4625,21.5,25.9,16.4375,14.6,17.8,275.0
2020-09-04,17.075,14.3,19.6,730.5,727.3,733.4,751.3,748.1,754.2,1.1,0.1,2.4,84.25,68.0,99.0,5.0,3,8,0.0,0.0,0.0,16.714285714285715,15.0,18.0,14.0375,14.0,14.3,19.46,17.7,19.9,14.2375,13.5,15.0,138.0
2020-09-05,19.7875,17.6,23.8,735.75,733.7,737.3,756.425,754.4,758.0,0.475,-0.1,1.4,75.75,67.0,85.0,3.125,1,5,0.0,0.0,0.0,14.571428571428571,10.0,17.0,16.633333333333336,14.8,17.6,23.525,19.9,25.8,15.3375,14.0,17.8,18.1
2020-09-06,20.6875,16.4,26.5,737.8125,737.4,738.4,758.5,757.9,759.2,0.0625,-0.8,0.5,77.875,53.0,99.0,1.75,0,3,0.0,0.0,0.0,8.5,5.0,17.0,14.325,14.1,15.9,26.325,25.8,26.9,16.25,14.2,18.0,6.0
2020-09-07,19.6125,16.5,22.2,734.2875,729.4,737.5,754.8625,749.8,758.1,-1.0375,-1.9,-0.2,88.125,73.0,99.0,3.25,0,6,0.0,0.0,0.0,8.571428571428571,5.0,12.0,15.675,14.1,15.9,25.557142857142857,22.8,26.9,17.475,16.3,18.9,9.0
2020-09-08,16.025,15.6,16.4,727.4375,726.1,729.3,748.0375,746.5,750.1,-0.0125,-2.1,1.4,99.0,99.0,99.0,6.0,5,7,0.0,0.0,0.0,16.333333333333332,14.0,17.0,15.7125,15.6,15.9,22.8,22.8,22.8,15.825,15.4,16.2,254.0
2020-09-09,15.7,15.2,16.8,730.4875,729.5,730.9,751.3,750.3,751.8,0.1875,-0.1,0.7,99.0,99.0,99.0,4.125,2,5,0.0,0.0,0.0,10.2,9.0,11.0,15.175,15.1,15.5,16.2625,15.9,16.8,15.5,15.0,16.6,187.0
2020-09-10,16.9375,15.4,19.1,734.925,730.8,739.5,755.7875,751.6,760.5,1.0875,0.0,1.7,96.0,88.0,99.0,2.625,0,4,0.0,0.0,0.0,7.0,6.0,8.0,15.2375,15.1,15.3,17.887500000000003,16.8,19.1,16.25,15.2,17.4,36.3
2020-09-11,18.15,14.5,22.1,743.325,740.5,745.3,764.325,761.5,766.3,0.725,-0.3,1.6,87.875,72.0,99.0,3.25,2,4,0.0,0.0,0.0,8.125,7.0,9.0,14.5625,14.5,15.0,21.5125,19.1,23.4,15.95,14.3,17.3,0.0
2020-09-12,17.9875,14.5,21.1,745.6125,744.7,746.2,766.65,765.7,767.3,-0.075,-0.9,0.4,85.0,72.0,99.0,2.25,1,3,0.0,0.0,0.0,7.0,5.0,9.0,14.35,14.3,14.5,22.725,21.6,23.4,15.3375,14.3,16.4,0.0
2020-09-13,17.25,12.5,21.9,742.875,740.8,744.4,763.8625,761.8,765.4,-0.4875,-1.4,0.2,81.5,59.0,99.0,1.75,0,3,0.0,0.0,0.0,5.875,5.0,7.0,14.025,12.4,14.3,21.875,21.6,22.2,13.6625,12.4,14.8,0.0
2020-09-14,16.5,9.9,21.7,740.3875,739.7,741.0,761.425,760.7,762.1,0.0428571428571428,-0.7,0.7,81.625,54.0,100.0,1.125,0,2,0.0,0.0,0.0,5.0,3.0,6.0,9.9875,9.8,11.3,22.5,22.2,22.9,12.85,9.8,15.5,0.0
2020-09-15,19.1625,13.6,22.5,737.8,733.8,740.1,758.6125,754.3,761.0,-0.875,-1.7,0.0,75.5,58.0,99.0,2.125,1,3,0.0,0.0,0.0,4.857142857142857,2.0,7.0,12.44285714285714,9.8,13.5,22.95,22.9,23.0,14.4375,13.5,15.5,0.0
2020-09-16,18.225,16.1,22.1,730.225,729.2,732.4,750.775,749.8,752.9,-0.575,-1.5,0.5,66.25,39.0,97.0,3.625,2,5,0.0,0.0,0.0,11.428571428571429,8.0,14.0,15.85,13.5,16.5,22.7,22.3,23.0,11.1375,5.4,16.6,23.0
2020-09-17,14.5375,13.6,16.1,730.7,729.1,732.5,751.5125,749.6,753.5,0.325,-0.7,0.8,70.625,62.0,87.0,3.875,2,6,0.0,0.0,0.0,14.166666666666666,11.0,15.0,12.9375,12.1,14.3,19.8,17.4,22.3,9.1625,6.5,11.6,13.0
2020-09-18,13.875,10.9,16.3,733.7,732.0,735.7,754.7375,753.0,756.7,0.4875,0.2,0.9,82.25,70.0,92.0,3.375,2,4,0.0,0.0,0.0,9.875,9.0,12.0,10.9,10.8,11.6,17.299999999999997,17.2,17.4,10.8125,9.7,12.2,12.0
2020-09-19,12.775,10.2,14.2,738.1625,736.0,740.5,759.35,757.0,761.8,0.6,0.3,1.1,94.75,77.0,99.0,1.25,0,2,0.0,0.0,0.0,7.285714285714286,6.0,9.0,11.1,9.5,12.2,16.416666666666668,15.3,17.2,11.925,10.1,13.4,20.6
2020-09-20,12.475,9.0,15.5,742.1375,741.0,743.5,763.525,762.4,765.0,0.375,-0.3,0.8,87.875,68.0,99.0,1.625,0,3,0.0,0.0,0.0,5.5,3.0,7.0,9.45,9.0,9.6,16.15,15.3,16.7,10.35,8.9,11.9,0.4
2020-09-21,13.2125,9.9,16.8,743.6375,742.7,744.3,765.025,764.0,765.7,-0.0714285714285714,-0.8,0.8,84.25,59.0,99.0,1.25,1,2,0.0,0.0,0.0,4.25,2.0,7.0,7.7,7.7,7.7,17.05,16.7,17.6,10.35,8.7,11.5,0.0
2020-09-22,13.0625,10.0,14.5,742.9625,742.2,743.9,764.325,763.5,765.4,0.0875,-0.8,0.9,94.75,88.0,99.0,1.5,1,2,0.0,0.0,0.0,4.571428571428571,3.0,5.0,9.885714285714286,9.5,10.0,16.95714285714286,15.8,17.6,12.25,9.9,14.1,20.0
2020-09-23,13.85,10.0,19.8,744.0,743.2,745.0,765.35,764.5,766.5,-0.0875,-1.1,0.7,84.375,49.0,99.0,1.0,0,2,0.0,0.0,0.0,3.875,3.0,5.0,9.7125,9.7,9.8,18.2875,15.8,20.5,10.7125,7.8,13.7,0.4
2020-09-24,15.425,8.9,20.3,742.4125,741.7,743.2,763.5625,762.7,764.5,-0.15,-1.0,0.3,84.5,67.0,99.0,1.375,0,3,0.0,0.0,0.0,4.5,3.0,5.0,8.8,8.8,8.8,20.5375,20.5,20.6,12.6125,8.8,14.7,0.0
2020-09-25,16.15,12.0,22.0,742.4,741.7,743.2,763.525,762.7,764.3,0.15,-0.9,0.9,84.625,52.0,99.0,0.875,0,2,0.0,0.0,0.0,4.166666666666667,3.0,5.0,10.9875,8.8,11.3,21.5375,20.6,22.4,13.1375,11.7,15.4,0.0
2020-09-26,15.7375,9.9,22.5,743.55,742.9,744.4,764.725,764.1,765.7,0.0249999999999999,-1.0,0.7,79.125,39.0,99.0,0.875,0,2,0.0,0.0,0.0,3.7142857142857135,1.0,5.0,9.475,9.3,10.5,22.6625,22.4,23.0,11.15,7.9,15.8,0.0
2020-09-27,18.8875,13.6,24.3,741.625,740.1,743.0,762.5875,760.9,764.2,-0.35,-1.7,0.4,66.0,39.0,89.0,3.0,2,4,0.0,0.0,0.0,5.75,4.0,7.0,10.2,9.3,10.5,23.7875,23.0,24.6,11.7875,9.5,13.7,0.0
2020-09-28,15.0375,10.1,18.9,740.1125,738.8,740.8,761.1,759.8,762.1,0.0249999999999999,-1.1,1.8,84.875,50.0,99.0,2.875,1,4,0.0,0.0,0.0,8.375,7.0,10.0,13.5625,10.0,15.2,22.51666666666667,19.6,24.6,12.2,6.0,16.0,1.6
2020-09-29,10.133333333333333,4.8,15.1,740.4428571428572,739.7,741.1,761.9499999999999,761.5,762.6,-0.1333333333333333,-0.7,0.4,79.5,43.0,99.0,2.0,1,3,0.0,0.0,0.0,6.571428571428571,4.0,10.0,7.285714285714286,4.8,9.5,18.48333333333333,16.3,19.6,5.966666666666666,1.3,9.5,2.0
2020-09-30,9.4375,2.8,16.0,741.0,740.2,742.1,762.8000000000001,761.9,763.8,-0.0875,-1.0,0.6,70.75,34.0,100.0,1.5,0,3,0.0,0.0,0.0,5.166666666666667,2.0,6.0,5.45,2.5,7.4,16.4625,15.7,16.8,3.075,0.2,5.6,0.0
2020-10-01,10.0625,3.5,13.4,737.7125,735.7,739.9,759.2,756.9,761.4,-0.5875,-1.0,-0.3,79.125,64.0,100.0,2.0,1,3,0.0,0.0,0.0,4.666666666666667,3.0,6.0,3.316666666666667,3.2,3.7,15.725,13.6,16.8,6.3875,3.5,9.1,0.4
2020-10-02,12.9375,9.4,15.9,735.8625,734.4,738.7,757.0375,755.5,760.0,0.375,-1.1,1.3,65.875,41.0,93.0,4.125,2,7,0.0,0.0,0.0,10.5,7.0,13.0,10.7,9.4,11.2,15.4875,13.6,16.8,6.025,2.4,10.8,2.8
2020-10-03,11.4375,6.6,16.9,738.1625,735.9,739.9,759.5125,757.0,761.3,-0.35,-1.7,0.5,55.5,32.0,78.0,3.125,1,5,0.0,0.0,0.0,10.571428571428571,8.0,12.0,6.4625,6.3,7.5,16.925,16.8,17.1,2.15,0.1,3.2,0.0
2020-10-04,8.075,6.0,11.9,735.6125,734.7,737.2,757.025,756.1,758.8,0.1624999999999999,-0.8,1.4,81.625,58.0,99.0,4.25,3,6,0.0,0.0,0.0,12.0,9.0,13.0,5.85,5.7,6.3,15.900000000000002,13.4,17.1,4.8125,0.7,6.8,12.1
2020-10-05,8.1125,2.7,13.0,741.225,738.1,743.8,762.9375,759.9,765.7,0.8250000000000001,0.0,1.6,75.5,46.0,98.0,3.25,0,5,0.0,0.0,0.0,10.428571428571429,9.0,12.0,5.5375,2.7,6.1,12.1125,10.1,13.5,3.4375,0.3,6.1,1.2
2020-10-06,6.925,1.5,14.0,745.0,744.2,746.3,766.8875,766.0,768.2,0.3125,-0.9,1.2,70.375,29.0,100.0,2.0,1,4,0.0,0.0,0.0,8.625,5.0,12.0,0.9625,0.9,1.4,14.2,13.5,15.0,0.6124999999999999,-3.7,2.4,0.0
2020-10-07,7.8875,1.2,16.6,747.5500000000001,746.5,749.2,769.4625,768.4,771.1,0.3625,-0.9,1.7,73.625,42.0,98.0,0.75,0,2,0.0,0.0,0.0,3.8333333333333335,2.0,5.0,0.55,0.5,0.9,16.1,15.0,17.2,2.5625,0.9,4.6,0.0
2020-10-08,12.55,1.9,18.9,749.025,747.4,750.9,770.7375,768.7,772.9,-0.035416666666666596,-0.95,0.9,66.625,48.0,98.0,2.25,1,4,0.0,0.0,0.0,5.4,5.0,6.0,1.3333333333333333,0.5,1.6,18.2,17.2,19.2,6.0625,1.6,8.2,0.0
2020-10-09,16.3875,13.0,20.5,744.95,743.3,746.8,766.1625,764.5,768.1,-0.45,-1.6,0.5,42.25,22.0,60.0,2.625,2,3,0.0,0.0,0.0,10.0,6.0,12.0,11.571428571428571,6.2,12.6,19.95,19.2,20.7,2.7875,-1.9,6.0,0.0
2020-10-10,16.525,13.6,20.9,741.7125,740.4,743.2,762.775,761.4,764.2,-0.4125,-0.9,0.2,61.625,31.0,78.0,3.25,2,5,0.0,0.0,0.0,9.833333333333334,8.0,11.0,12.725,12.6,13.0,20.9,20.7,21.1,8.6625,3.2,11.6,0.0
2020-10-11,9.3625,3.2,15.1,740.7875,739.0,742.9,762.1375,760.1,764.8,0.3125,-0.8,1.7,85.75,79.0,91.0,2.375,1,3,0.0,0.0,0.0,10.375,7.0,12.0,8.625,3.0,12.9,19.3,15.5,21.1,7.0875,-0.1,11.8,7.7
2020-10-12,5.8375,0.2,11.0,742.7625,741.7,743.8,764.7125,763.7,765.9,-0.1125,-1.4,0.6,49.875,25.0,82.0,2.125,1,4,0.0,0.0,0.0,8.125,4.0,11.0,-0.275,-0.5,1.3,12.27142857142857,9.4,15.1,-5.1,-8.3,-1.4,0.0
2020-10-13,5.75,0.2,9.7,743.2875,739.9,748.2,765.1375,761.5,770.3,0.775,-0.9,2.1,42.375,30.0,61.0,4.5,2,9,0.0,0.0,0.0,13.625,7.0,18.0,2.4000000000000004,-0.5,4.2,11.175,10.3,11.7,-6.45,-10.4,-1.1,0.0
2020-10-14,1.85,-2.7,6.3,748.875,747.7,750.1,771.2625,769.9,772.6,-0.0625,-1.3,0.8,46.125,28.0,66.0,2.625,2,5,0.0,0.0,0.0,10.142857142857142,8.0,16.0,-2.9125,-3.2,-1.4,8.75,6.8,10.3,-9.225,-11.0,-6.6,0.0
2020-10-15,7.5,2.6,13.0,745.375,744.1,747.2,767.325,766.0,769.3,-0.425,-1.3,0.6,35.875,22.0,51.0,3.125,1,5,0.0,0.0,0.0,9.166666666666666,9.0,10.0,-1.3375,-3.2,2.2,10.6,6.8,13.4,-7.1125,-10.0,-4.2,0.0
2020-10-16,7.2875,4.6,11.1,743.65,742.6,744.6,765.45,764.4,766.5,-0.2125,-1.1,1.4,42.5,26.0,63.0,3.25,2,6,0.0,0.0,0.0,9.125,8.0,10.0,2.7,2.2,2.9,12.8375,11.9,13.4,-5.2625,-7.9,-1.1,0.0
2020-10-17,10.675,6.7,16.7,741.1625,739.8,743.5,762.7,761.2,765.0,0.1124999999999999,-1.1,2.1,39.125,24.0,48.0,3.375,1,6,0.0,0.0,0.0,11.0,10.0,12.0,3.3,2.8,5.2,14.8,11.9,17.1,-3.125,-4.4,-0.7,0.0
2020-10-18,6.4375,-1.7,12.0,745.475,744.2,746.8,767.3625,765.8,768.7,0.1625,-1.0,1.6,44.875,22.0,87.0,1.875,1,3,0.0,0.0,0.0,7.125,5.0,10.0,-1.7375,-2.6,3.4,15.5,12.3,17.1,-6.0375,-9.1,-3.4,0.0
2020-10-19,12.4125,6.7,18.3,744.1625,743.4,745.0,765.75,764.8,766.4,-0.15,-1.0,0.6,36.625,21.0,50.0,3.375,2,4,0.0,0.0,0.0,8.857142857142858,6.0,10.0,4.514285714285714,-2.6,6.1,15.75,12.3,18.6,-2.5,-4.4,2.9,0.0
2020-10-20,14.875,10.1,19.9,742.95,739.6,745.4,764.2,760.6,766.9,-0.675,-1.9,0.3,55.125,37.0,75.0,3.5,2,5,0.0,0.0,0.0,11.0,11.0,11.0,8.925,6.4,9.6,19.2875,18.6,20.0,5.5125,4.4,6.9,0.0
2020-10-21,9.15,2.2,15.1,738.525,737.2,740.1,759.8625,758.5,762.0,0.0625,-1.0,1.8,70.75,47.0,94.0,3.375,2,6,0.0,0.0,0.0,11.875,8.0,13.0,7.071428571428571,2.2,9.6,18.5875,15.3,20.0,3.6875,-4.3,8.4,55.6
2020-10-22,1.6625,-3.7,6.5,741.7,740.3,742.9,763.825,762.2,765.3,0.3375,-0.4,1.0,57.75,37.0,83.0,2.125,1,3,0.0,0.0,0.0,7.625,6.0,9.0,-1.4,-3.7,0.4,10.6875,7.7,15.2,-6.275,-7.9,-4.4,0.0
2020-10-23,-0.575,-6.1,5.8,742.5,741.9,743.3,764.875,764.3,765.7,-0.0375,-0.9,0.7,62.875,28.0,91.0,2.0,0,5,0.0,0.0,0.0,8.125,3.0,11.0,-6.1,-6.3,-4.9,7.1125,6.2,7.7,-7.9125,-11.3,-4.7,0.0
2020-10-24,3.0375,-6.4,9.5,741.6375,740.6,743.2,763.8625,762.7,765.7,-0.2,-1.3,0.6,51.625,29.0,89.0,2.875,1,4,0.0,0.0,0.0,7.875,3.0,10.0,-6.457142857142857,-6.5,-6.3,8.125,6.2,9.9,-6.925,-7.9,-5.9,0.0
2020-10-25,5.862500000000001,-0.6,13.3,742.5375,740.9,744.1,764.4375,762.7,766.1,0.3999999999999999,-0.4,1.0,48.375,25.0,77.0,1.75,1,3,0.0,0.0,0.0,7.5,5.0,9.0,-0.35,-0.6,-0.3,11.8625,9.9,13.7,-5.0125,-6.7,-3.0,0.0
2020-10-26,7.625,-2.8,14.6,742.3375,740.6,744.1,764.1875,762.2,766.1,-0.3375,-1.6,0.8,61.25,25.0,97.0,1.875,0,4,0.0,0.0,0.0,6.666666666666667,3.0,10.0,-2.8285714285714287,-2.9,-2.4,14.65,13.7,15.6,-1.0125000000000002,-6.4,7.2,0.0
2020-10-27,4.7875,0.8,9.5,745.1625,743.5,746.3,767.075,765.1,768.4,0.6125,-0.5,2.1,45.625,25.0,71.0,2.875,1,5,0.0,0.0,0.0,8.714285714285714,7.0,11.0,0.125,-2.9,1.5,14.1,9.8,15.6,-6.8125,-11.0,-0.7,0.0
2020-10-28,1.125,-3.7,6.8,747.1125,746.3,748.0,769.4625,768.4,770.5,0.2125,-0.6,0.7,43.125,24.0,76.0,2.375,1,4,0.0,0.0,0.0,7.75,5.0,10.0,-2.3125,-3.8,-0.8,8.825000000000001,7.2,9.8,-10.9625,-13.3,-7.3,0.0
2020-10-29,0.8500000000000001,-3.4,7.3,749.15,748.0,750.2,771.6625,770.4,772.7,0.275,-0.4,0.8,52.375,28.0,80.0,1.375,1,3,0.0,0.0,0.0,5.625,4.0,7.0,-4.8,-5.0,-4.2,7.371428571428572,7.2,7.5,-8.6375,-10.7,-5.9,0.0
2020-10-30,4.55,-4.3,10.7,748.325,744.4,750.7,770.6375,766.3,773.4,-0.725,-1.7,0.4,50.0,28.0,90.0,2.125,1,3,0.0,0.0,0.0,5.0,3.0,6.0,-4.785714285714286,-5.0,-4.7,9.475,7.5,11.6,-6.375,-7.1,-5.4,0.0
2020-10-31,9.65,6.2,13.1,738.5875,736.0,743.2,760.125,757.5,764.9,-0.8,-2.4,1.5,49.5,35.0,74.0,4.375,2,9,0.0,0.0,0.0,15.625,7.0,21.0,5.666666666666667,3.5,6.1,12.6,11.6,13.2,-0.8125,-6.5,8.1,4.2
2020-11-01,4.85,0.7,8.0,740.125,738.4,742.2,761.875,759.8,764.2,0.525,-0.4,1.3,44.125,34.0,57.0,4.125,3,6,0.0,0.0,0.0,12.5,9.0,16.0,2.95,0.6,6.1,12.0125,9.1,13.2,-6.5875,-8.3,-3.7,0.0
2020-11-02,0.625,-2.5,4.6,742.05,741.5,742.6,764.275,763.6,764.7,0.0124999999999999,-0.9,0.7,42.875,31.0,55.0,4.25,3,6,0.0,0.0,0.0,12.2,9.0,14.0,-1.3,-2.5,-0.1,6.95,4.8,9.1,-10.8625,-14.0,-9.0,0.0
2020-11-03,-3.7,-6.9,0.0,743.225,742.6,743.8,765.875,765.1,766.4,0.1875,-0.8,0.6,43.5,30.0,62.0,3.125,2,5,0.0,0.0,0.0,11.285714285714286,9.0,14.0,-7.1875,-7.6,-5.0,3.225,0.0,4.8,-14.7875,-16.8,-12.6,0.0
2020-11-04,0.3625,-7.4,6.4,742.575,741.1,744.3,765.0875,763.3,767.1,-0.325,-1.8,0.4,35.0,18.0,54.0,2.75,1,5,0.0,0.0,0.0,9.25,7.0,11.0,-7.528571428571429,-7.6,-7.5,3.6875,0.0,6.8,-14.1125,-16.6,-8.4,0.0
2020-11-05,6.9125,3.0,12.4,740.8125,739.3,741.9,762.675,760.9,763.7,-0.2375,-1.4,0.7,59.125,34.0,80.0,2.875,1,5,0.0,0.0,0.0,9.142857142857142,5.0,10.0,2.24,1.6,2.7,10.528571428571428,6.8,12.7,-1.0125,-3.8,4.0,0.0
