NO,DATE,5cm_SM,10cm_SM,20cm_SM,40cm_SM,5cm_ST,10cm_ST,20cm_ST,40cm_ST,Number of nodes used to derive the daily mean of the sample area,Number of observations used to summarize the half hour data into the daily mean,T_mean,T_min,T_max,Po_mean,Po_min,Po_max,P_mean,P_min,P_max,Pa_mean,Pa_min,Pa_max,U_mean,U_min,U_max,Ff_mean,Ff_min,Ff_max,ff10_mean,ff10_min,ff10_max,ff3_mean,ff3_min,ff3_max,Tn_mean,Tn_min,Tn_max,Tx_mean,Tx_min,Tx_max,Td_mean,Td_min,Td_max,RRR_sum,value,cost,dry_risk
12,2020-08-18,0.1984961,0.225123,0.1720239,0.1394749,22.65083,20.03521,21.40292,20.23333,10,48,25.7625,20.2,29.9,734.525,733.3,735.3,754.7375,753.6,755.7,0.175,-0.6,1.1,80.75,53.0,99.0,3.25,1,6,0.0,0.0,0.0,11.166666666666666,8.0,12.0,21.9125,20.2,22.5,28.4625,26.4,29.9,21.8125,19.3,24.8,20.0,0.1720239,0.0779760999999999,1
13,2020-08-19,0.250375,0.2490385,0.1720912,0.1396891,20.55604,18.94542,21.06458,20.34104,10,48,18.7625,16.6,20.1,738.05,736.0,740.9,758.725,756.4,761.8,0.7,0.0,1.5,89.5,69.0,99.0,2.625,1,4,0.0,0.0,0.0,8.25,7.0,9.0,18.4375,16.6,19.1,25.7,21.5,29.9,16.875,12.0,19.6,65.5,0.1720912,0.0779087999999999,1
14,2020-08-20,0.2469525,0.2537063,0.1701941,0.1385721,18.21438,16.91333,19.3,19.66813,10,48,18.275,13.2,22.8,742.2875,741.6,743.1,763.2875,762.6,764.2,0.175,-1.0,0.8,63.25,43.0,88.0,2.5,2,3,0.0,0.0,0.0,7.75,6.0,8.0,13.2,13.0,14.4,22.25,21.5,23.0,10.675,8.2,12.8,0.0,0.1701941,0.0798059,1
15,2020-08-21,0.2391268,0.2522681,0.1691336,0.1372386,17.70604,16.25521,18.36271,18.85687,10,48,19.2375,13.1,25.0,741.65,740.7,742.6,762.525,761.5,763.6,-0.1875,-1.4,0.4,64.875,39.0,91.0,1.875,0,4,0.0,0.0,0.0,5.875,5.0,7.0,12.7375,12.7,13.0,24.3375,23.0,25.7,11.75,10.1,13.2,0.0,0.1691336,0.0808663999999999,1
16,2020-08-22,0.2318844,0.2490146,0.1685225,0.1373172,17.75167,16.595,17.98979,17.88,10,48,20.15,12.3,26.2,738.2625,736.0,740.5,759.0,756.6,761.3,-0.6,-1.6,0.0,74.125,45.0,99.0,1.0,0,3,0.0,0.0,0.0,6.5,2.0,8.0,12.2625,12.2,12.7,26.35,25.7,27.0,14.5625,12.2,17.2,0.0,0.1685225,0.0814775,1
17,2020-08-23,0.2276509,0.2458981,0.1691822,0.1401895,19.11583,18.88125,18.43042,16.35479,10,48,22.675,16.9,26.8,733.625,732.4,735.3,754.05,752.7,755.8,-0.4499999999999999,-1.2,0.4,71.125,46.0,99.0,2.25,1,4,0.0,0.0,0.0,6.0,3.0,9.0,15.675,12.2,16.8,27.075,27.0,27.2,16.65,13.9,18.7,0.0,0.1691822,0.0808177999999999,1
18,2020-08-24,0.2585326,0.2742262,0.1875555,0.1432553,19.32646,19.38958,19.05813,16.58417,10,48,20.0,18.7,22.8,729.55,727.7,731.8,749.95,748.1,752.0,-0.4,-1.4,0.8,93.375,70.0,99.0,1.75,1,3,0.0,0.0,0.0,7.0,5.0,8.0,18.55,16.9,19.6,27.2,27.2,27.2,18.7625,17.0,20.0,118.0,0.1875555,0.0624444999999999,1
19,2020-08-25,0.2809882,0.2999725,0.2246459,0.1494473,20.5725,20.11792,19.31729,16.67729,10,48,22.9125,18.6,27.7,732.3375,729.7,734.8,752.7875,750.2,755.1,0.7,0.1,1.2,84.875,66.0,99.0,2.125,1,3,0.0,0.0,0.0,5.375,4.0,6.0,18.2125,18.2,18.3,25.642857142857142,20.5,28.4,20.0125,18.4,20.9,6.1,0.2246459,0.0253540999999999,0
20,2020-08-26,0.274676,0.2951575,0.2313086,0.1542243,21.54479,21.11229,20.21708,17.0675,10,48,24.375,20.7,27.8,734.975,733.6,736.1,755.3125,753.8,756.4,-0.15,-1.4,0.5,76.875,52.0,100.0,1.875,1,3,0.0,0.0,0.0,5.333333333333333,4.0,6.0,19.914285714285715,18.6,20.4,28.514285714285712,28.4,28.6,19.65,17.1,20.9,0.0,0.2313086,0.0186913999999999,0
21,2020-08-27,0.3000695,0.3152297,0.2613905,0.1771982,21.08937,21.12375,20.67604,17.54625,10,48,22.0375,21.1,22.7,729.4,725.7,732.4,749.6625,745.9,752.6,-0.4875,-2.8,2.1,98.625,96.0,99.0,3.125,1,5,0.0,0.0,0.0,9.125,6.0,11.0,21.375,20.4,21.8,27.5,24.2,28.6,21.775,20.9,22.5,148.0,0.2613905,0.01,0
22,2020-08-28,0.2971003,0.3146922,0.2729346,0.2321763,21.14604,20.95479,20.43188,17.68583,10,48,22.125,20.5,24.5,732.675,730.6,734.9,753.0875,750.9,755.4,0.65,-0.3,1.2,94.25,86.0,99.0,2.25,1,3,0.0,0.0,0.0,7.375,6.0,11.0,20.9375,20.5,21.0,24.05,22.8,25.0,21.125,20.3,22.0,22.9,0.2729346,0.01,0
23,2020-08-29,0.2872292,0.3063738,0.2667526,0.2305593,20.1,20.43125,20.33417,17.72229,10,48,18.0,15.9,19.8,737.2875,735.1,738.7,758.05,755.6,759.7,0.475,-0.2,1.2,91.0,78.0,99.0,2.375,0,4,0.0,0.0,0.0,6.875,6.0,7.0,16.3125,15.7,19.1,23.6625,20.6,25.0,16.45,15.6,18.4,0.0,0.2667526,0.01,0
24,2020-08-30,0.2812363,0.3007374,0.2614552,0.226185,19.28125,19.39917,19.35104,17.33792,10,48,21.0125,15.3,25.2,739.2625,738.8,739.9,760.0,759.6,760.6,0.0374999999999999,-0.6,0.6,81.375,68.0,99.0,1.875,1,3,0.0,0.0,0.0,4.428571428571429,3.0,6.0,14.7125,14.6,15.5,23.95,20.6,26.3,17.5,15.1,19.0,0.0,0.2614552,0.01,0
25,2020-08-31,0.2781998,0.2979628,0.2583666,0.222398,20.66771,20.26479,19.60146,17.13104,10,48,24.75,20.2,28.7,736.5625,734.8,738.2,756.95,754.9,758.7,-0.525,-0.8,0.0,74.375,58.0,86.0,2.875,2,4,0.0,0.0,0.0,8.25,5.0,10.0,18.450000000000003,14.6,19.6,27.8625,26.3,29.1,19.7125,17.8,21.8,0.0,0.2583666,0.01,0
26,2020-09-01,0.2821349,0.2999566,0.257812,0.2203674,21.71667,21.38667,20.54792,17.42729,10,48,22.8,18.4,26.2,733.6,733.0,734.3,753.9125,753.4,754.8,-0.0625,-0.9,1.1,82.5,63.0,99.0,2.375,1,4,0.0,0.0,0.0,6.8,5.0,9.0,19.3,18.2,20.2,28.4375,27.3,29.1,19.425,16.6,21.5,73.6,0.257812,0.01,0
27,2020-09-02,0.2764395,0.2964089,0.2554397,0.218786,20.93417,20.89938,20.46854,17.655,10,48,22.425,20.6,25.6,735.1125,734.2,735.6,755.55,754.6,756.1,0.125,-0.3,0.7,76.75,58.0,96.0,1.875,1,3,0.0,0.0,0.0,6.571428571428571,6.0,8.0,18.225,18.2,18.4,26.8375,25.9,27.3,17.875,15.7,19.9,3.0,0.2554397,0.01,0
28,2020-09-03,0.3050376,0.3180544,0.2738901,0.2369174,18.53125,19.12562,19.46979,17.50562,10,48,17.15,14.8,19.6,726.5375,720.4,733.0,746.9875,740.8,753.4,-1.157142857142857,-5.7,3.3,95.875,88.0,99.0,5.0,2,7,0.0,0.0,0.0,12.125,5.0,18.0,17.0875,14.8,19.5,24.4625,21.5,25.9,16.4375,14.6,17.8,275.0,0.2738901,0.01,0
29,2020-09-04,0.3145088,0.3356469,0.2914575,0.2666014,16.34958,16.88854,17.53125,16.63396,10,48,17.075,14.3,19.6,730.5,727.3,733.4,751.3,748.1,754.2,1.1,0.1,2.4,84.25,68.0,99.0,5.0,3,8,0.0,0.0,0.0,16.714285714285715,15.0,18.0,14.0375,14.0,14.3,19.46,17.7,19.9,14.2375,13.5,15.0,138.0,0.2914575,0.01,0
30,2020-09-05,0.3023071,0.3286652,0.2863791,0.2612581,17.82104,17.6725,17.50875,16.08104,10,48,19.7875,17.6,23.8,735.75,733.7,737.3,756.425,754.4,758.0,0.475,-0.1,1.4,75.75,67.0,85.0,3.125,1,5,0.0,0.0,0.0,14.571428571428571,10.0,17.0,16.633333333333336,14.8,17.6,23.525,19.9,25.8,15.3375,14.0,17.8,18.1,0.2863791,0.01,0
31,2020-09-06,0.2915254,0.3213639,0.2815966,0.2553752,18.91417,18.61604,18.13979,16.11292,10,48,20.6875,16.4,26.5,737.8125,737.4,738.4,758.5,757.9,759.2,0.0625,-0.8,0.5,77.875,53.0,99.0,1.75,0,3,0.0,0.0,0.0,8.5,5.0,17.0,14.325,14.1,15.9,26.325,25.8,26.9,16.25,14.2,18.0,6.0,0.2815966,0.01,0
32,2020-09-07,0.2860305,0.3171424,0.2787853,0.2517353,18.72792,18.7325,18.4725,16.29438,10,48,19.6125,16.5,22.2,734.2875,729.4,737.5,754.8625,749.8,758.1,-1.0375,-1.9,-0.2,88.125,73.0,99.0,3.25,0,6,0.0,0.0,0.0,8.571428571428571,5.0,12.0,15.675,14.1,15.9,25.557142857142857,22.8,26.9,17.475,16.3,18.9,9.0,0.2787853,0.01,0
33,2020-09-08,0.3335376,0.3505821,0.2945783,0.2640237,17.30708,17.70187,17.96708,16.27479,10,48,16.025,15.6,16.4,727.4375,726.1,729.3,748.0375,746.5,750.1,-0.0125,-2.1,1.4,99.0,99.0,99.0,6.0,5,7,0.0,0.0,0.0,16.333333333333332,14.0,17.0,15.7125,15.6,15.9,22.8,22.8,22.8,15.825,15.4,16.2,254.0,0.2945783,0.01,0
34,2020-09-09,0.3284218,0.3478245,0.2959891,0.2693218,17.16979,17.29229,17.36042,15.91458,10,48,15.7,15.2,16.8,730.4875,729.5,730.9,751.3,750.3,751.8,0.1875,-0.1,0.7,99.0,99.0,99.0,4.125,2,5,0.0,0.0,0.0,10.2,9.0,11.0,15.175,15.1,15.5,16.2625,15.9,16.8,15.5,15.0,16.6,187.0,0.2959891,0.01,0
35,2020-09-10,0.3113662,0.3356556,0.2887322,0.2631751,17.60396,17.64479,17.48396,15.75688,10,48,16.9375,15.4,19.1,734.925,730.8,739.5,755.7875,751.6,760.5,1.0875,0.0,1.7,96.0,88.0,99.0,2.625,0,4,0.0,0.0,0.0,7.0,6.0,8.0,15.2375,15.1,15.3,17.887500000000003,16.8,19.1,16.25,15.2,17.4,36.3,0.2887322,0.01,0
36,2020-09-11,0.3001342,0.3279925,0.2843182,0.2581292,17.31,17.42292,17.39688,15.70875,10,48,18.15,14.5,22.1,743.325,740.5,745.3,764.325,761.5,766.3,0.725,-0.3,1.6,87.875,72.0,99.0,3.25,2,4,0.0,0.0,0.0,8.125,7.0,9.0,14.5625,14.5,15.0,21.5125,19.1,23.4,15.95,14.3,17.3,0.0,0.2843182,0.01,0
37,2020-09-12,0.2914733,0.3218884,0.2809326,0.2541294,16.85,17.07813,17.18396,15.61792,10,48,17.9875,14.5,21.1,745.6125,744.7,746.2,766.65,765.7,767.3,-0.075,-0.9,0.4,85.0,72.0,99.0,2.25,1,3,0.0,0.0,0.0,7.0,5.0,9.0,14.35,14.3,14.5,22.725,21.6,23.4,15.3375,14.3,16.4,0.0,0.2809326,0.01,0
38,2020-09-13,0.2889281,0.3180288,0.2787027,0.247208,17.27604,17.33667,17.1925,16.55292,10,48,17.25,12.5,21.9,742.875,740.8,744.4,763.8625,761.8,765.4,-0.4875,-1.4,0.2,81.5,59.0,99.0,1.75,0,3,0.0,0.0,0.0,5.875,5.0,7.0,14.025,12.4,14.3,21.875,21.6,22.2,13.6625,12.4,14.8,0.0,0.2787027,0.01,0
39,2020-09-14,0.2841378,0.314116,0.2767284,0.2427671,16.75708,16.95771,16.98812,17.10625,10,48,16.5,9.9,21.7,740.3875,739.7,741.0,761.425,760.7,762.1,0.0428571428571428,-0.7,0.7,81.625,54.0,100.0,1.125,0,2,0.0,0.0,0.0,5.0,3.0,6.0,9.9875,9.8,11.3,22.5,22.2,22.9,12.85,9.8,15.5,0.0,0.2767284,0.01,0
40,2020-09-15,0.2788165,0.3115867,0.2752654,0.2406798,17.62062,17.46958,17.15125,17.04542,10,48,19.1625,13.6,22.5,737.8,733.8,740.1,758.6125,754.3,761.0,-0.875,-1.7,0.0,75.5,58.0,99.0,2.125,1,3,0.0,0.0,0.0,4.857142857142857,2.0,7.0,12.44285714285714,9.8,13.5,22.95,22.9,23.0,14.4375,13.5,15.5,0.0,0.2752654,0.01,0
41,2020-09-16,0.2867296,0.3139611,0.2747784,0.2392246,17.04917,17.33792,17.33667,17.16833,10,48,18.225,16.1,22.1,730.225,729.2,732.4,750.775,749.8,752.9,-0.575,-1.5,0.5,66.25,39.0,97.0,3.625,2,5,0.0,0.0,0.0,11.428571428571429,8.0,14.0,15.85,13.5,16.5,22.7,22.3,23.0,11.1375,5.4,16.6,23.0,0.2747784,0.01,0
42,2020-09-17,0.2894536,0.3149297,0.2743255,0.2377038,14.43875,15.24,16.05458,16.85792,10,48,14.5375,13.6,16.1,730.7,729.1,732.5,751.5125,749.6,753.5,0.325,-0.7,0.8,70.625,62.0,87.0,3.875,2,6,0.0,0.0,0.0,14.166666666666666,11.0,15.0,12.9375,12.1,14.3,19.8,17.4,22.3,9.1625,6.5,11.6,13.0,0.2743255,0.01,0
43,2020-09-18,0.2992482,0.319883,0.2747788,0.2364824,14.32896,14.76042,15.22583,16.15292,10,48,13.875,10.9,16.3,733.7,732.0,735.7,754.7375,753.0,756.7,0.4875,0.2,0.9,82.25,70.0,92.0,3.375,2,4,0.0,0.0,0.0,9.875,9.0,12.0,10.9,10.8,11.6,17.299999999999997,17.2,17.4,10.8125,9.7,12.2,12.0,0.2747788,0.01,0
44,2020-09-19,0.2985905,0.3198335,0.2748129,0.2361286,14.27562,14.66896,15.03583,15.75604,10,48,12.775,10.2,14.2,738.1625,736.0,740.5,759.35,757.0,761.8,0.6,0.3,1.1,94.75,77.0,99.0,1.25,0,2,0.0,0.0,0.0,7.285714285714286,6.0,9.0,11.1,9.5,12.2,16.416666666666668,15.3,17.2,11.925,10.1,13.4,20.6,0.2748129,0.01,0
45,2020-09-20,0.2950787,0.3172022,0.2736636,0.2354918,13.78563,14.17083,14.59458,15.42667,10,48,12.475,9.0,15.5,742.1375,741.0,743.5,763.525,762.4,765.0,0.375,-0.3,0.8,87.875,68.0,99.0,1.625,0,3,0.0,0.0,0.0,5.5,3.0,7.0,9.45,9.0,9.6,16.15,15.3,16.7,10.35,8.9,11.9,0.4,0.2736636,0.01,0
46,2020-09-21,0.2903853,0.3141511,0.2723858,0.2345758,13.58625,13.93354,14.31792,15.11979,10,48,13.2125,9.9,16.8,743.6375,742.7,744.3,765.025,764.0,765.7,-0.0714285714285714,-0.8,0.8,84.25,59.0,99.0,1.25,1,2,0.0,0.0,0.0,4.25,2.0,7.0,7.7,7.7,7.7,17.05,16.7,17.6,10.35,8.7,11.5,0.0,0.2723858,0.01,0
47,2020-09-22,0.2863653,0.3114235,0.2713535,0.2335278,13.98104,14.14917,14.30396,14.9225,10,48,13.0625,10.0,14.5,742.9625,742.2,743.9,764.325,763.5,765.4,0.0875,-0.8,0.9,94.75,88.0,99.0,1.5,1,2,0.0,0.0,0.0,4.571428571428571,3.0,5.0,9.885714285714286,9.5,10.0,16.95714285714286,15.8,17.6,12.25,9.9,14.1,20.0,0.2713535,0.01,0
48,2020-09-23,0.2830811,0.3096269,0.2705981,0.232636,14.24896,14.46604,14.51833,14.87625,10,48,13.85,10.0,19.8,744.0,743.2,745.0,765.35,764.5,766.5,-0.0875,-1.1,0.7,84.375,49.0,99.0,1.0,0,2,0.0,0.0,0.0,3.875,3.0,5.0,9.7125,9.7,9.8,18.2875,15.8,20.5,10.7125,7.8,13.7,0.4,0.2705981,0.01,0
49,2020-09-24,0.2788575,0.3074081,0.2694937,0.2316453,14.29458,14.31125,14.31083,14.76562,10,48,15.425,8.9,20.3,742.4125,741.7,743.2,763.5625,762.7,764.5,-0.15,-1.0,0.3,84.5,67.0,99.0,1.375,0,3,0.0,0.0,0.0,4.5,3.0,5.0,8.8,8.8,8.8,20.5375,20.5,20.6,12.6125,8.8,14.7,0.0,0.2694937,0.01,0
50,2020-09-25,0.2754501,0.3063242,0.2691072,0.2309081,15.61521,15.43542,15.02938,14.88,10,48,16.15,12.0,22.0,742.4,741.7,743.2,763.525,762.7,764.3,0.15,-0.9,0.9,84.625,52.0,99.0,0.875,0,2,0.0,0.0,0.0,4.166666666666667,3.0,5.0,10.9875,8.8,11.3,21.5375,20.6,22.4,13.1375,11.7,15.4,0.0,0.2691072,0.01,0
51,2020-09-26,0.2703852,0.3039251,0.2682962,0.2303602,15.50875,15.47521,15.25458,15.11271,10,48,15.7375,9.9,22.5,743.55,742.9,744.4,764.725,764.1,765.7,0.0249999999999999,-1.0,0.7,79.125,39.0,99.0,0.875,0,2,0.0,0.0,0.0,3.7142857142857135,1.0,5.0,9.475,9.3,10.5,22.6625,22.4,23.0,11.15,7.9,15.8,0.0,0.2682962,0.01,0
52,2020-09-27,0.2653362,0.3014835,0.2673184,0.2296252,15.61083,15.52292,15.31229,15.22292,10,48,18.8875,13.6,24.3,741.625,740.1,743.0,762.5875,760.9,764.2,-0.35,-1.7,0.4,66.0,39.0,89.0,3.0,2,4,0.0,0.0,0.0,5.75,4.0,7.0,10.2,9.3,10.5,23.7875,23.0,24.6,11.7875,9.5,13.7,0.0,0.2673184,0.01,0
53,2020-09-28,0.2621092,0.2995846,0.2666506,0.2290335,15.68771,15.83938,15.69292,15.40771,10,48,15.0375,10.1,18.9,740.1125,738.8,740.8,761.1,759.8,762.1,0.0249999999999999,-1.1,1.8,84.875,50.0,99.0,2.875,1,4,0.0,0.0,0.0,8.375,7.0,10.0,13.5625,10.0,15.2,22.51666666666667,19.6,24.6,12.2,6.0,16.0,1.6,0.2666506,0.01,0
54,2020-09-29,0.2612968,0.2973189,0.2649631,0.2278757,12.83354,13.66333,14.48438,15.17979,10,48,10.133333333333333,4.8,15.1,740.4428571428572,739.7,741.1,761.9499999999999,761.5,762.6,-0.1333333333333333,-0.7,0.4,79.5,43.0,99.0,2.0,1,3,0.0,0.0,0.0,6.571428571428571,4.0,10.0,7.285714285714286,4.8,9.5,18.48333333333333,16.3,19.6,5.966666666666666,1.3,9.5,2.0,0.2649631,0.01,0
55,2020-09-30,0.2561628,0.2946315,0.2632401,0.2261478,11.70083,12.37021,13.21875,14.45833,10,48,9.4375,2.8,16.0,741.0,740.2,742.1,762.8000000000001,761.9,763.8,-0.0875,-1.0,0.6,70.75,34.0,100.0,1.5,0,3,0.0,0.0,0.0,5.166666666666667,2.0,6.0,5.45,2.5,7.4,16.4625,15.7,16.8,3.075,0.2,5.6,0.0,0.2632401,0.01,0
56,2020-10-01,0.2519045,0.29183,0.2617337,0.224684,10.75792,11.45458,12.38667,13.83708,10,48,10.0625,3.5,13.4,737.7125,735.7,739.9,759.2,756.9,761.4,-0.5875,-1.0,-0.3,79.125,64.0,100.0,2.0,1,3,0.0,0.0,0.0,4.666666666666667,3.0,6.0,3.316666666666667,3.2,3.7,15.725,13.6,16.8,6.3875,3.5,9.1,0.4,0.2617337,0.01,0
57,2020-10-02,0.2576514,0.2937595,0.2614888,0.2235601,12.13542,12.35583,12.56729,13.38979,10,48,12.9375,9.4,15.9,735.8625,734.4,738.7,757.0375,755.5,760.0,0.375,-1.1,1.3,65.875,41.0,93.0,4.125,2,7,0.0,0.0,0.0,10.5,7.0,13.0,10.7,9.4,11.2,15.4875,13.6,16.8,6.025,2.4,10.8,2.8,0.2614888,0.01,0
58,2020-10-03,0.2523228,0.2916606,0.2606364,0.222753,10.92708,11.47646,12.13646,13.20083,10,48,11.4375,6.6,16.9,738.1625,735.9,739.9,759.5125,757.0,761.3,-0.35,-1.7,0.5,55.5,32.0,78.0,3.125,1,5,0.0,0.0,0.0,10.571428571428571,8.0,12.0,6.4625,6.3,7.5,16.925,16.8,17.1,2.15,0.1,3.2,0.0,0.2606364,0.01,0
59,2020-10-04,0.258328,0.2908926,0.2596019,0.2217721,9.67771,10.54417,11.53188,12.87729,10,48,8.075,6.0,11.9,735.6125,734.7,737.2,757.025,756.1,758.8,0.1624999999999999,-0.8,1.4,81.625,58.0,99.0,4.25,3,6,0.0,0.0,0.0,12.0,9.0,13.0,5.85,5.7,6.3,15.900000000000002,13.4,17.1,4.8125,0.7,6.8,12.1,0.2596019,0.01,0
60,2020-10-05,0.2676643,0.2953782,0.259434,0.2206973,9.37042,9.96271,10.78833,12.29292,10,48,8.1125,2.7,13.0,741.225,738.1,743.8,762.9375,759.9,765.7,0.8250000000000001,0.0,1.6,75.5,46.0,98.0,3.25,0,5,0.0,0.0,0.0,10.428571428571429,9.0,12.0,5.5375,2.7,6.1,12.1125,10.1,13.5,3.4375,0.3,6.1,1.2,0.259434,0.01,0
61,2020-10-06,0.2624997,0.2940427,0.2590614,0.2199975,9.04125,9.67625,10.4475,11.85917,10,48,6.925,1.5,14.0,745.0,744.2,746.3,766.8875,766.0,768.2,0.3125,-0.9,1.2,70.375,29.0,100.0,2.0,1,4,0.0,0.0,0.0,8.625,5.0,12.0,0.9625,0.9,1.4,14.2,13.5,15.0,0.6124999999999999,-3.7,2.4,0.0,0.2590614,0.01,0
62,2020-10-07,0.2574029,0.2916853,0.2581728,0.2192408,8.31958,8.91313,9.79021,11.42917,10,48,7.8875,1.2,16.6,747.5500000000001,746.5,749.2,769.4625,768.4,771.1,0.3625,-0.9,1.7,73.625,42.0,98.0,0.75,0,2,0.0,0.0,0.0,3.8333333333333335,2.0,5.0,0.55,0.5,0.9,16.1,15.0,17.2,2.5625,0.9,4.6,0.0,0.2581728,0.01,0
63,2020-10-08,0.2543546,0.2906192,0.2577478,0.2186054,9.08625,9.30833,9.77729,11.11563,10,48,12.55,1.9,18.9,749.025,747.4,750.9,770.7375,768.7,772.9,-0.035416666666666596,-0.95,0.9,66.625,48.0,98.0,2.25,1,4,0.0,0.0,0.0,5.4,5.0,6.0,1.3333333333333333,0.5,1.6,18.2,17.2,19.2,6.0625,1.6,8.2,0.0,0.2577478,0.01,0
